stcofips,langoha,langstr,lep,se,b
41001,por,por,1,25.93730586335479,12.96865272521973
41001,rus,rus,0,48.89863159511726,24.44931602478027
41001,rus,rus,1,0,0
41001,hbs,hbs,0,.0112300042128891,.0056150020100176
41001,hbs,hbs,1,0,0
41001,spa,spa,0,7371.061319019806,217.9999961853027
41001,spa,spa,1,3517.034000981864,58.99999904632568
41001,tam,tam,0,.0007479913951414,.0003739956882782
41001,tam,tam,1,.0027744882221492,.0013872440904379
41001,tel,tel,0,.0008397138572216,.0004198569222353
41001,tel,tel,1,.0033633406682967,.001681670313701
41001,tgl,tgl,0,62.04032620155468,9.000000238418579
41001,tgl,tgl,1,0,0
41001,tha,tha,0,18.18387782922556,.0012268904247321
41001,tha,tha,1,10.30486593026907,7.957135200500488
41001,ukr,ukr,0,64.73051860646954,4.540880680084229
41001,ukr,ukr,1,0,0
41001,urd,urd,0,.0003977410755425,.0001988705334952
41001,urd,urd,1,.0019874417163438,.0009937208378688
41001,vie,vie,0,0,0
41001,vie,vie,1,0,0
41001,yid,yid,0,0,0
41001,yid,yid,1,0,0
41001,yor,yor,0,138.2514586552797,1.810083448886871
41001,yor,yor,1,0,0
41003,afa,afa,0,.0068899429289747,.0053892517462373
41003,afa,afa,1,.0062420294203819,.0031210146844387
41003,ara,ara,0,257.1134528505243,342
41003,ara,ara,1,42.97266317408589,67
41003,arm,arm,0,.0036365208614048,.0018182604108006
41003,arm,arm,1,.0007148086024444,.0003574042930268
41003,ben,ben,0,62.52569979428959,88.49367523193359
41003,ben,ben,1,94.79352047179965,13.00692749023438
41003,swa,swa,0,36.73495985285168,34.57949066162109
41003,swa,swa,1,.0012630208869644,.0006315104546957
41003,chn,chn,0,479.7994880854812,1115.000037193298
41003,chn,chn,1,212.1191356524935,1034.999963760376
41003,eng,eng,0,151064.4039606949,80798.0009765625
41003,eng,eng,1,0,0
41003,fre,fre,0,464.6736069922158,613.8318405151367
41003,fre,fre,1,47.33731907643007,38.99615478515625
41003,ger,ger,0,481.8824881876026,252.15869140625
41003,ger,ger,1,188.176591762897,27.99726486206055
41003,gre,gre,0,19.48422072287558,25.54287147521973
41003,gre,gre,1,18.78904706990011,9.394523620605469
41003,guj,guj,0,356.7122768247541,.0112825706601143
41003,guj,guj,1,14.3915145880714,7.195757389068604
41003,hat,hat,0,22.33632279310918,11.16816139221191
41003,hat,hat,1,.007694127597783,.0038470637518913
41003,heb,heb,0,115.0935887862026,17.69140243530273
41003,heb,heb,1,.0221607462737877,.0110803730785847
41003,hin,hin,0,117.5500246736735,220.2648849487305
41003,hin,hin,1,124.6681219277807,.0013027836102992
41003,hmn,hmn,0,36.48036982834056,.0014219884760678
41003,hmn,hmn,1,.001408451858626,.0007042259094305
41003,ita,ita,0,54.7615976809151,114.6497116088867
41003,ita,ita,1,277.2788110593739,8.401974678039551
41003,jpn,jpn,0,166.8628836015611,114.0506677627563
41003,jpn,jpn,1,161.3698833667934,46.70892524719238
41003,khm,khm,0,81.45265891627633,.0015438434202224
41003,khm,khm,1,6.888632280772942,3.444316148757935
41003,kor,kor,0,237.4148696111935,556.0000152587891
41003,kor,kor,1,190.0666926535262,280
41003,mal,mal,0,54.22342378990836,59.96323394775391
41003,mal,mal,1,9.038395678191284,4.519197940826416
41003,nav,nav,0,6.304844510417137,3.152422189712524
41003,nav,nav,1,.0240085651235201,.0120042823255062
41003,qas,qas,0,100.1767744866314,91.72405290603638
41003,qas,qas,1,21.91322770594126,18.31805968284607
41003,qie,qie,0,107.1970758436952,164.1810457706451
41003,qie,qie,1,9.031627449147136,5.656381130218506
41003,nep,nep,0,88.58223029161944,110.0575866699219
41003,nep,nep,1,.0030299715888959,.0015149858081713
41003,qna,qna,0,3.506701049080122,1.753350496292114
41003,qna,qna,1,.0129387311014225,.0064693656750023
41003,map,map,0,97.14243412822321,86.92021804768592
41003,map,map,1,51.54668096873819,38.61020137206651
41003,qsl,qsl,0,.0187154533439575,.0132319889962673
41003,qsl,qsl,1,.0165447198122331,.0082723600789905
41003,und,und,0,185.195707656191,55.81609344482422
41003,und,und,1,39.31471316562244,71.7949660718441
41003,pan,pan,0,41.50476635138201,83.18268203735352
41003,pan,pan,1,12.72572131857377,13.42843270301819
41003,per,per,0,77.17057791479291,163.0836868286133
41003,per,per,1,81.10963536608182,38.97032928466797
41003,pol,pol,0,18.67989579949733,9.339947700500488
41003,pol,pol,1,89.58274860516532,44.79137420654297
41003,por,por,0,73.66978059058968,80.33784866333008
41003,por,por,1,.0011745230508324,.0005872615147382
41003,rus,rus,0,336.8873343111716,199.396324634552
41003,rus,rus,1,217.1635328502463,47.12715530395508
41003,hbs,hbs,0,27.95134540520255,19.14469909667969
41003,hbs,hbs,1,76.13059939382127,38.06529998779297
41003,spa,spa,0,6448.775552382018,3322.000091552734
41003,spa,spa,1,4433.450959044207,1434.000007629395
41003,tam,tam,0,19.0911294040931,15.60342979431152
41003,tam,tam,1,5.343175489093633,2.671587705612183
41003,tel,tel,0,39.21291353483728,42.23369979858398
41003,tel,tel,1,5.330987513744907,2.665493726730347
41003,tgl,tgl,0,188.4394213728745,50.00000095367432
41003,tgl,tgl,1,43.95462783213308,11
41003,tha,tha,0,64.48726273973848,55.50172745308373
41003,tha,tha,1,134.4306207561172,129.0615081787109
41003,ukr,ukr,0,220.5474367908183,121.1058044433594
41003,ukr,ukr,1,411.3344328220043,.0078974636271596
41003,urd,urd,0,34.38580263497659,17.19290161132813
41003,urd,urd,1,3.883820001998337,1.941910028457642
41003,vie,vie,0,309.6427918036042,196.0000056028366
41003,vie,vie,1,23.74960487438587,38
41003,yid,yid,0,.0037041190475276,.0018520595040172
41003,yid,yid,1,97.20388728402276,11.17172718048096
41003,yor,yor,0,106.3380867624064,35.84131050109863
41003,yor,yor,1,32.06545632082445,.002735247486271
41005,afa,afa,0,101.6027852989207,194.1724397310754
41005,afa,afa,1,84.02086928098855,138.2290526333963
41005,ara,ara,0,218.7532008694387,485
41005,ara,ara,1,172.5835423832832,370
41005,arm,arm,0,20.15762584633275,31.69907474517822
41005,arm,arm,1,92.70507448333633,81.89265823364258
41005,ben,ben,0,51.8597680950754,55.51935577392578
41005,ben,ben,1,.001184966050604,.0005924830329604
41005,swa,swa,0,24.39507261458948,24.7553882598877
41005,swa,swa,1,8.00992094796554,5.745459941215813
41005,chn,chn,0,368.0430816642768,1931.999969482422
41005,chn,chn,1,656.7740630703036,2432.000015258789
41005,eng,eng,0,4195.112036644552,352488.9921875
41005,eng,eng,1,0,0
41005,fre,fre,0,198.8979561801887,893.9995498657227
41005,fre,fre,1,56.47738600001359,100.9991073608398
41005,ger,ger,0,243.5219383304966,1243.366653442383
41005,ger,ger,1,93.52122656442886,218.3748588562012
41005,gre,gre,0,71.624611419103,139.4745941162109
41005,gre,gre,1,40.30814687010012,29.30166435241699
41005,guj,guj,0,144.4838275241061,217.5776596069336
41005,guj,guj,1,59.25039350805508,32.94901275634766
41005,hat,hat,0,.0008878700203078,.0004439350159373
41005,hat,hat,1,.0017835442948392,.0008917721570469
41005,heb,heb,0,70.15760107969636,112.6535911560059
41005,heb,heb,1,31.1029165586932,31.70381927490234
41005,hin,hin,0,273.9716407968852,706.1978073120117
41005,hin,hin,1,32.83424316798033,51.93856048583984
41005,hmn,hmn,0,129.0640133083192,186.0941619873047
41005,hmn,hmn,1,46.25821625182689,66.19750785827637
41005,ita,ita,0,78.72524877650038,202.1120529174805
41005,ita,ita,1,76.10383660047961,65.83836364746094
41005,jpn,jpn,0,262.5588847644467,732.1181488037109
41005,jpn,jpn,1,188.6646614821851,301.3917007446289
41005,khm,khm,0,20.51642004536772,22.94648385047913
41005,khm,khm,1,50.84192528993665,33.94967365264893
41005,kor,kor,0,190.2853672674117,779.9999771118164
41005,kor,kor,1,146.5706221097018,678.0000076293945
41005,mal,mal,0,.0033610406860993,.001680520363152
41005,mal,mal,1,34.10296657332852,23.91744804382324
41005,nav,nav,0,.0033050987911144,.001652549370192
41005,nav,nav,1,.0018888181329559,.0009444090537727
41005,qas,qas,0,49.16135069389725,59.77794089540839
41005,qas,qas,1,11.50628021912693,12.08126128825825
41005,qie,qie,0,511.8056092790046,1510.312652587891
41005,qie,qie,1,98.38860764963785,160.6158866882324
41005,nep,nep,0,128.2073249235881,239.5835990905762
41005,nep,nep,1,177.4446271548573,285.7377131381072
41005,qna,qna,0,71.34104910979329,115.7301149368286
41005,qna,qna,1,1.358296020947065,4.627196311950684
41005,map,map,0,158.01142552266,275.6532440185547
41005,map,map,1,83.6538247920784,132.2681217193604
41005,qsl,qsl,0,108.5049157501325,303.9899730682373
41005,qsl,qsl,1,20.24212267212699,20.56806564331055
41005,und,und,0,302.1440605492607,376.6844787597656
41005,und,und,1,36.06520834769892,15.69218696968164
41005,pan,pan,0,27.84103061741508,28.13232040405273
41005,pan,pan,1,85.1067889615379,76.15399169921875
41005,per,per,0,111.9690623810031,310.764048576355
41005,per,per,1,100.8877037396983,113.8857769966125
41005,pol,pol,0,39.89042532632165,81.53371047973633
41005,pol,pol,1,27.19504542385375,29.26352310180664
41005,por,por,0,90.59778079921267,125.1428565979004
41005,por,por,1,28.36686690813058,18.35586357116699
41005,rus,rus,0,368.8627452773126,1681.132919311523
41005,rus,rus,1,210.4588858351035,878.3756256103516
41005,hbs,hbs,0,123.9426542394385,245.6748943328857
41005,hbs,hbs,1,17.09365470901513,24.20714569091797
41005,spa,spa,0,962.9613464140189,15379.00024414063
41005,spa,spa,1,1054.273768851099,6944.000183105469
41005,tam,tam,0,57.25256928254945,43.57412052154541
41005,tam,tam,1,.0015641423216947,.000782071147114
41005,tel,tel,0,25.99077970902013,20.96704483032227
41005,tel,tel,1,.0017201971693678,.0008600985747762
41005,tgl,tgl,0,336.0429747210541,906.9999847412109
41005,tgl,tgl,1,126.6644813353267,192.0000038146973
41005,tha,tha,0,125.5664380425813,377.867196559906
41005,tha,tha,1,217.9564661077162,466.1926555633545
41005,ukr,ukr,0,466.6710747065576,1499.668617248535
41005,ukr,ukr,1,459.3375961334753,816.5856094360352
41005,urd,urd,0,51.14787664844486,79.48388481140137
41005,urd,urd,1,23.50566649601485,14.32991695404053
41005,vie,vie,0,309.303623395059,1275.999984741211
41005,vie,vie,1,355.2751423302966,1041.000015258789
41005,yid,yid,0,.0046536554974365,.0023268277291209
41005,yid,yid,1,.0026840353364111,.0013420176692307
41005,yor,yor,0,97.42813482294591,179.6333160400391
41005,yor,yor,1,2.8211529639004,1.625132892630063
41007,afa,afa,0,.0020994459190213,.0011698264861479
41007,afa,afa,1,.0194170299809749,.0112667384091765
41007,ara,ara,0,477.7844211828175,4
41007,ara,ara,1,0,0
41007,arm,arm,0,28.47491314667944,.0022603929974139
41007,arm,arm,1,.0023844661547802,.0011922330595553
41007,ben,ben,0,.0043606972680834,.0021803486160934
41007,ben,ben,1,.0018020953112723,.0009010476642288
41007,swa,swa,0,.0013066491890524,.0006533245905302
41007,swa,swa,1,.0123582185728759,.0061791092157364
41007,chn,chn,0,18.91956691383371,10
41007,chn,chn,1,55.78571260269802,15.00000035762787
41007,eng,eng,0,94849.46557572161,36989.00048828125
41007,eng,eng,1,0,0
41007,fre,fre,0,113.3715017634916,75.99983596801758
41007,fre,fre,1,14.87773914922502,4.99879789352417
41007,ger,ger,0,254.2007061820197,60.41414356231689
41007,ger,ger,1,119.3348744326627,77.98924827575684
41007,gre,gre,0,11.32575204133297,5.662876129150391
41007,gre,gre,1,.0022019128737215,.0011009564623237
41007,guj,guj,0,.0051852962577913,.002592648146674
41007,guj,guj,1,.0023190607398611,.0011595303658396
41007,hat,hat,0,.0003251096651647,.000162554832059
41007,hat,hat,1,.0024037698362346,.0012018849374726
41007,heb,heb,0,.5022833365128426,.2511416673660278
41007,heb,heb,1,.0060111549967404,.0030055774841458
41007,hin,hin,0,31.35425772585061,.0018896227702498
41007,hin,hin,1,.0028421910714489,.0014210955705494
41007,hmn,hmn,0,38.45581372660056,7.754375457763672
41007,hmn,hmn,1,2.885012069227337,1.442506074905396
41007,ita,ita,0,176.3322752336126,.0172450891695917
41007,ita,ita,1,.0021406971054026,.0010703485459089
41007,jpn,jpn,0,130.6908096923311,41.39520263671875
41007,jpn,jpn,1,11.90734121373338,5.953670501708984
41007,khm,khm,0,.0014986207500325,.0007493103621528
41007,khm,khm,1,.0004216307361039,.000210815371247
41007,kor,kor,0,23.81281142143801,10
41007,kor,kor,1,67.189002526804,4.99999988079071
41007,mal,mal,0,23.53662501900296,4.431519031524658
41007,mal,mal,1,.7516120037818538,.3758060038089752
41007,nav,nav,0,.0006028434163301,.0003014217072632
41007,nav,nav,1,.0030277894962366,.0015138947637752
41007,qas,qas,0,49.10182543473807,18.71427775497432
41007,qas,qas,1,2.217255686866744,1.352538049221039
41007,qie,qie,0,63.80266955036544,137.2900816095644
41007,qie,qie,1,81.40662408643759,47.96870568115264
41007,nep,nep,0,27.19725377300011,.0106292301788926
41007,nep,nep,1,.0093345018516487,.0046672509051859
41007,qna,qna,0,.0002820180650464,.0001410090335412
41007,qna,qna,1,.0032614146024503,.0016307072946802
41007,map,map,0,186.854531567398,11.97343829847523
41007,map,map,1,65.9542151580678,.0040977099270094
41007,qsl,qsl,0,.00054589014712,.0003858608688461
41007,qsl,qsl,1,0,0
41007,und,und,0,14.90422397016317,3.74621170759201
41007,und,und,1,35.72836694888229,50.97406005859375
41007,pan,pan,0,22.67810788962812,.0042118252022192
41007,pan,pan,1,69.45062390041035,.0165184028446674
41007,per,per,0,.0033019077852575,.0016509538982064
41007,per,per,1,.0025535095078818,.0012767547741532
41007,pol,pol,0,27.18901868064396,3.369083166122437
41007,pol,pol,1,0,0
41007,por,por,0,.0044146775925726,.002207338809967
41007,por,por,1,.0018489534050126,.0009244767134078
41007,rus,rus,0,17.99143439044762,10.63015556335449
41007,rus,rus,1,0,0
41007,hbs,hbs,0,.0003973175160367,.0001986587594729
41007,hbs,hbs,1,0,0
41007,spa,spa,0,2613.200885348752,1434
41007,spa,spa,1,2669.179560715942,268.0000057220459
41007,tam,tam,0,.0005317772616369,.0002658886369318
41007,tam,tam,1,.374629533084126,.1873147636651993
41007,tel,tel,0,.0005969865061575,.0002984932507388
41007,tel,tel,1,.4442384885467562,.2221192419528961
41007,tgl,tgl,0,179.5502791264191,31
41007,tgl,tgl,1,0,0
41007,tha,tha,0,166.2574598890227,7.729872226715088
41007,tha,tha,1,180.8781908408943,7.461736679077148
41007,ukr,ukr,0,.000353007772744,.0001765038905432
41007,ukr,ukr,1,0,0
41007,urd,urd,0,.004345556178649,.002172778127715
41007,urd,urd,1,.0021278844160188,.0010639422107488
41007,vie,vie,0,82.64321140072546,46
41007,vie,vie,1,41.34165399129948,31.00000047683716
41007,yid,yid,0,.0007622286346302,.000381114310585
41007,yid,yid,1,.0046872123444356,.0023436062037945
41007,yor,yor,0,129.1762664443434,3.58585786819458
41007,yor,yor,1,.0152050646084828,.0107509004883468
41009,afa,afa,0,.0013812688763589,.0008903629204724
41009,afa,afa,1,0,0
41009,ara,ara,0,240.7082242441043,129
41009,ara,ara,1,0,0
41009,arm,arm,0,28.47741339606652,.0008559801499359
41009,arm,arm,1,.0005582774290147,.00027913870872
41009,ben,ben,0,.0013800675698687,.0006900337757543
41009,ben,ben,1,.000446407322736,.0002232036640635
41009,swa,swa,0,.0005987806372392,.0004839939210797
41009,swa,swa,1,0,0
41009,chn,chn,0,8.96939265377744,5
41009,chn,chn,1,70.26273629610796,4.99999988079071
41009,eng,eng,0,78931.18177247823,48333.0009765625
41009,eng,eng,1,0,0
41009,fre,fre,0,121.2719716722757,67.9994945526123
41009,fre,fre,1,0,0
41009,ger,ger,0,158.5588385219742,143.9971389770508
41009,ger,ger,1,203.891870901052,10.2802619934082
41009,gre,gre,0,.0009628368349453,.0004814184212591
41009,gre,gre,1,.0006147841851323,.0003073920961469
41009,guj,guj,0,.0015135746568225,.0007567873108201
41009,guj,guj,1,.0005803186332644,.0002901593106799
41009,hat,hat,0,.0010064482739029,.0005032241460867
41009,hat,hat,1,0,0
41009,heb,heb,0,.0004805706017934,.0002402852987871
41009,heb,heb,1,0,0
41009,hin,hin,0,20.47326107256273,6.653876781463623
41009,hin,hin,1,.0006443342491552,.0003221671213396
41009,hmn,hmn,0,52.7516059811808,.0013462897622958
41009,hmn,hmn,1,.0013379169518026,.0006689584697597
41009,ita,ita,0,153.4773449410572,14.40308260917664
41009,ita,ita,1,.000568649553506,.0002843247784767
41009,jpn,jpn,0,118.3502913954532,51.32252979278564
41009,jpn,jpn,1,.0009819428882108,.0004909714334644
41009,khm,khm,0,.0028781506932089,.0014390753349289
41009,khm,khm,1,12.2522518657286,6.126125812530518
41009,kor,kor,0,16.95729985317671,15
41009,kor,kor,1,0,0
41009,mal,mal,0,31.01200092964265,.0023295513819903
41009,mal,mal,1,.0020266936761603,.0010133468313143
41009,nav,nav,0,.0003200152673386,.0001600076357136
41009,nav,nav,1,0,0
41009,qas,qas,0,82.67206017628554,.0081573950592428
41009,qas,qas,1,.0073015999812811,.0044251277577132
41009,qie,qie,0,109.3085372872486,50.04858779272763
41009,qie,qie,1,16.4167297346326,.0027265804528724
41009,nep,nep,0,27.21162615250543,.0032071392633952
41009,nep,nep,1,.0024692532380103,.0012346266303211
41009,qna,qna,0,6.103199366806423,3.051599740982056
41009,qna,qna,1,0,0
41009,map,map,0,88.07137809561947,85.44622137886472
41009,map,map,1,65.95030243347325,.0068944975500926
41009,qsl,qsl,0,0,0
41009,qsl,qsl,1,54.92742459515328,27.46371269226074
41009,und,und,0,16.64682535863721,1.946318039452308
41009,und,und,1,0,0
41009,pan,pan,0,22.68109797166344,.0013126641861163
41009,pan,pan,1,69.47240487461551,.0046457108110189
41009,per,per,0,.0014836578798296,.0007418289314955
41009,per,per,1,5.978557099251764,2.989278554916382
41009,pol,pol,0,0,0
41009,pol,pol,1,37.66439389374018,18.83219718933105
41009,por,por,0,25.77164238595459,12.88582134246826
41009,por,por,1,.0004188320968798,.0002094160445267
41009,rus,rus,0,0,0
41009,rus,rus,1,90.0334085128265,16.65670204162598
41009,hbs,hbs,0,0,0
41009,hbs,hbs,1,30.5889984898702,16.8271312713623
41009,spa,spa,0,3183.651095342421,1017.000019073486
41009,spa,spa,1,2659.554072995603,273.9999952316284
41009,tam,tam,0,.0017286687996246,.0008643344044685
41009,tam,tam,1,.0010491945957326,.0005245973006822
41009,tel,tel,0,.0025009117525013,.0012504558544606
41009,tel,tel,1,.0012879666021769,.0006439833086915
41009,tgl,tgl,0,200.7573064517205,20
41009,tgl,tgl,1,126.5743001829237,51
41009,tha,tha,0,130.7120971591765,27.21586608886719
41009,tha,tha,1,176.3611019535842,9.859212629555259
41009,ukr,ukr,0,0,0
41009,ukr,ukr,1,20.44051905740012,10.22025966644287
41009,urd,urd,0,.0011703188268547,.000585159403272
41009,urd,urd,1,.0003973497407949,.000198674868443
41009,vie,vie,0,0,0
41009,vie,vie,1,35.75851573756811,56.00000190734863
41009,yid,yid,0,.0006152777275363,.0003076388675254
41009,yid,yid,1,0,0
41009,yor,yor,0,135.9913040170169,.0028619575314224
41009,yor,yor,1,21.43947581091653,10.7197380065918
41011,afa,afa,0,64.08962696823713,14.00123236054787
41011,afa,afa,1,4.55569123712839,2.660562872886658
41011,ara,ara,0,0,0
41011,ara,ara,1,0,0
41011,arm,arm,0,.001424195971598,.0007120979717001
41011,arm,arm,1,.0036259493901849,.0018129746895283
41011,ben,ben,0,.0012852819433657,.0006426409818232
41011,ben,ben,1,.0025513188079873,.0012756594223902
41011,swa,swa,0,15.81965486023521,3.601942384266295
41011,swa,swa,1,184.3653705112487,1.937570214271545
41011,chn,chn,0,99.11961767681733,7.00000011920929
41011,chn,chn,1,92.09919499512469,177
41011,eng,eng,0,129347.1882338383,58790.0009765625
41011,eng,eng,1,0,0
41011,fre,fre,0,166.2696292159496,17.99989318847656
41011,fre,fre,1,0,0
41011,ger,ger,0,794.084200989869,134.1755542755127
41011,ger,ger,1,165.3932942185412,24.99847817420959
41011,gre,gre,0,61.97860053137796,4.768234729766846
41011,gre,gre,1,80.14575345503341,.0016384044429287
41011,guj,guj,0,.0018830272812678,.0009415136300959
41011,guj,guj,1,.0033919238030504,.0016959619242698
41011,hat,hat,0,.0002133672123733,.0001066836048267
41011,hat,hat,1,0,0
41011,heb,heb,0,.0012129402218381,.0006064701010473
41011,heb,heb,1,1.20813106071582,.6040655374526978
41011,hin,hin,0,80.86869058657683,33.83703231811523
41011,hin,hin,1,4.003288347900454,2.001644134521484
41011,hmn,hmn,0,.0020666270966254,.0010333135724068
41011,hmn,hmn,1,.00610083908761,.0030504195019603
41011,ita,ita,0,20.95066050942667,29.77225494384766
41011,ita,ita,1,234.8648713888478,15.33225917816162
41011,jpn,jpn,0,36.98372560292778,71.4892406463623
41011,jpn,jpn,1,139.0174716425061,69.50873565673828
41011,khm,khm,0,.0018179268914545,.0009089634404518
41011,khm,khm,1,.0041765434739099,.0020882717799395
41011,kor,kor,0,40.58326657477077,18
41011,kor,kor,1,0,0
41011,mal,mal,0,.0032093373939386,.0016046686796471
41011,mal,mal,1,.0113185706367804,.005659285467118
41011,nav,nav,0,.0012947975030566,.000647398759611
41011,nav,nav,1,.6641474276819022,.3320737183094025
41011,qas,qas,0,.0078953636306073,.0054665592033416
41011,qas,qas,1,116.8056323070901,.0255654980428517
41011,qie,qie,0,658.5142012030076,18.24163687229156
41011,qie,qie,1,107.1412675895853,.019619322149083
41011,nep,nep,0,.0061017027785295,.0030508514028043
41011,nep,nep,1,.0155481407654253,.0077740703709424
41011,qna,qna,0,117.9390734116277,8.020984649658203
41011,qna,qna,1,.7154632135607314,.3577316105365753
41011,map,map,0,155.3853136665229,3.498373759844981
41011,map,map,1,50.05134930009795,31.43310249969363
41011,qsl,qsl,0,27.83392131982841,24.26600069412962
41011,qsl,qsl,1,48.27335089104547,.003674038220197
41011,und,und,0,1.587600850483788,1.37369766831398
41011,und,und,1,1.91281011052474,1.529395043849945
41011,pan,pan,0,.0011260647049015,.0005630323430523
41011,pan,pan,1,.0092829307873958,.0046414653770626
41011,per,per,0,.0010934678188434,.0005467339069583
41011,per,per,1,45.5736172565197,12.39350509643555
41011,pol,pol,0,194.494095347391,17.79967164993286
41011,pol,pol,1,39.98043039354535,19.99021530151367
41011,por,por,0,189.7235447631632,24.37380409240723
41011,por,por,1,102.1269746213629,75.23262786865234
41011,rus,rus,0,45.71733953630005,5.93286395072937
41011,rus,rus,1,.0041824239311805,.0020912119653076
41011,hbs,hbs,0,121.0789426430645,.0006663746898994
41011,hbs,hbs,1,.0042067617266374,.0021033808588982
41011,spa,spa,0,2996.759734488236,1430
41011,spa,spa,1,1550.062090490249,653
41011,tam,tam,0,.0012607618647799,.0006303809350356
41011,tam,tam,1,.0054006493177826,.0027003246359527
41011,tel,tel,0,.0015209983467417,.0007604991551489
41011,tel,tel,1,.0060807728241469,.0030403863638639
41011,tgl,tgl,0,129.6496097227814,11.99999988079071
41011,tgl,tgl,1,85.28718181149883,125.0000009536743
41011,tha,tha,0,.0039626927112953,.0019813464023173
41011,tha,tha,1,142.9594684060262,.0160580675583333
41011,ukr,ukr,0,.0015927107016861,.0007963553653099
41011,ukr,ukr,1,.0038313153218148,.0019156576599926
41011,urd,urd,0,99.26649441811925,.00058209389681
41011,urd,urd,1,.0030112992547496,.0015056496486068
41011,vie,vie,0,0,0
41011,vie,vie,1,61.36583832460248,94
41011,yid,yid,0,.0017781449437354,.0008890724857338
41011,yid,yid,1,1.157201993657309,.5786010026931763
41011,yor,yor,0,137.5963423131907,10.82445001602173
41011,yor,yor,1,.0021522539425126,.0015217346372083
41013,afa,afa,0,0,0
41013,afa,afa,1,0,0
41013,ara,ara,0,0,0
41013,ara,ara,1,0,0
41013,arm,arm,0,.0009031909425305,.0004515954642557
41013,arm,arm,1,0,0
41013,ben,ben,0,9.557435134240507,.0001435583253624
41013,ben,ben,1,0,0
41013,swa,swa,0,0,0
41013,swa,swa,1,0,0
41013,chn,chn,0,613.0816980965543,27.99999986588955
41013,chn,chn,1,0,0
41013,eng,eng,0,265011.8702850874,22980.00048828125
41013,eng,eng,1,0,0
41013,fre,fre,0,0,0
41013,fre,fre,1,0,0
41013,ger,ger,0,1817.302425428621,22.99827396869659
41013,ger,ger,1,222.083317698561,34.1254997253418
41013,gre,gre,0,61.83117628148087,.0006810565537307
41013,gre,gre,1,0,0
41013,guj,guj,0,.0010132902369152,.0005066451267339
41013,guj,guj,1,0,0
41013,hat,hat,0,0,0
41013,hat,hat,1,0,0
41013,heb,heb,0,0,0
41013,heb,heb,1,0,0
41013,hin,hin,0,49.28026661590189,.0005870386958122
41013,hin,hin,1,0,0
41013,hmn,hmn,0,.0018933411875841,.0009466705960222
41013,hmn,hmn,1,0,0
41013,ita,ita,0,444.9917704646346,.0038389199762605
41013,ita,ita,1,0,0
