"CBSERIAL","PERNUM","PUMA","reald","age","ancestry"
2023000062888,1,5103,"Other","[55,60)",NA
2023000062888,1,5114,"Other","[55,60)",NA
2023000062888,1,5116,"Other","[55,60)",NA
2022001341590,1,5103,"Other","[60,85)",NA
2021000301316,1,5114,"Other","[60,85)",NA
2023000925658,1,5116,"Other","[60,85)",NA
2022000450712,2,5101,"Other","[85,Inf)",NA
2022000450712,2,5103,"Other","[85,Inf)",NA
2022000450712,2,5105,"Other","[85,Inf)",NA
2022000450712,2,5114,"Other","[85,Inf)",NA
2022000450712,2,5116,"Other","[85,Inf)",NA
2019001409078,4,5102,"White","[0,18)",NA
2019001409078,4,5103,"White","[0,18)",NA
2019001409078,4,5105,"White","[0,18)",NA
2019001409078,4,5114,"White","[0,18)",NA
2019001409078,4,5116,"White","[0,18)",NA
2020001037427,1,5101,"AmInd","[85,Inf)",NA
2021000834243,3,5103,"AmInd","[85,Inf)",NA
2021000681127,1,5105,"AmInd","[85,Inf)",NA
2020001037427,1,5116,"AmInd","[85,Inf)",NA
2019000118359,5,5101,"Asian","[85,Inf)",NA
2021000599930,1,5103,"Black","[85,Inf)",NA
2023001450746,1,5116,"Black","[85,Inf)",NA
2021000830138,4,5105,"HispLat","[85,Inf)",NA
2023000605251,4,5114,"HispLat","[85,Inf)",NA
2019000738884,1,5103,"MENA","[55,60)",NA
2019001292531,2,5101,"MENA","[85,Inf)",NA
2019001292531,2,5103,"MENA","[85,Inf)",NA
2021000174647,2,5105,"MENA","[85,Inf)",NA
2021000174647,2,5116,"MENA","[85,Inf)",NA
2019000815856,3,5103,"NHPI","[55,60)",NA
2019000533610,2,5105,"NHPI","[55,60)",NA
2023000357682,1,5114,"NHPI","[55,60)",NA
2021001240575,1,5102,"NHPI","[85,Inf)",NA
2021001240575,1,5103,"NHPI","[85,Inf)",NA
2021001240575,1,5114,"NHPI","[85,Inf)",NA
2021001240575,1,5116,"NHPI","[85,Inf)",NA
2023001244090,2,5101,"Other","[55,60)",NA
2023001244090,2,5102,"Other","[55,60)",NA
2021000749505,1,5116,"Other","[55,60)",NA
2022000672454,2,5102,"Other","[60,85)",NA
2020010094199,1,5101,"AmInd","[0,18)",NA
2020010094199,1,5114,"AmInd","[0,18)",NA
2022010158813,1,5101,"AmInd","[55,60)",NA
2023010175702,1,5103,"AmInd","[55,60)",NA
2023010175702,1,5116,"AmInd","[55,60)",NA
2022010037271,1,5101,"AmInd","[60,85)",NA
2019010096359,1,5116,"AmInd","[60,85)",NA
2023010140646,1,5101,"Asian","[0,18)",NA
2020010002575,1,5105,"Asian","[0,18)",NA
2020010036397,1,5116,"Asian","[0,18)",NA
2022010114100,1,5101,"Asian","[55,60)",NA
2022010036689,1,5103,"Asian","[55,60)",NA
2022010036689,1,5105,"Asian","[55,60)",NA
2022010114100,1,5114,"Asian","[55,60)",NA
2020010083344,1,5114,"Asian","[60,85)",NA
2023010098276,1,5101,"Asian","[85,Inf)",NA
2023010098276,1,5102,"Asian","[85,Inf)",NA
2023010098276,1,5103,"Asian","[85,Inf)",NA
2023010085834,1,5105,"Asian","[85,Inf)",NA
2022010059668,1,5116,"Black","[0,18)",NA
2021010019527,1,5101,"Black","[55,60)",NA
2021010002028,1,5114,"Black","[55,60)",NA
2021010002319,1,5101,"HispLat","[55,60)",NA
2021010059180,1,5114,"HispLat","[55,60)",NA
2021010026104,1,5101,"HispLat","[85,Inf)",NA
2019010037725,1,5103,"MENA","[18,55)",NA
2023010094744,1,5103,"MENA","[60,85)",NA
2023010094744,1,5105,"MENA","[60,85)",NA
2023010094744,1,5114,"MENA","[60,85)",NA
2023010085227,1,5101,"MENA","[85,Inf)",NA
2023010096280,1,5101,"NHPI","[60,85)",NA
2019010096313,1,5102,"NHPI","[60,85)",NA
2023010096280,1,5103,"NHPI","[60,85)",NA
2019010096313,1,5114,"NHPI","[60,85)",NA
2019010096313,1,5116,"NHPI","[60,85)",NA
2020010099001,1,5101,"Other","[18,55)",NA
2020010099001,1,5102,"Other","[18,55)",NA
2020010099001,1,5103,"Other","[18,55)",NA
2020010099001,1,5105,"Other","[18,55)",NA
2020010099001,1,5116,"Other","[18,55)",NA
2022010022113,1,5102,"Other","[60,85)",NA
2022010027412,1,5105,"Other","[60,85)",NA
2022010022113,1,5114,"Other","[60,85)",NA
2022010022113,1,5116,"Other","[60,85)",NA
2019010038353,1,5116,"White","[55,60)",NA
2020000238820,3,5114,"AmInd","[0,18)",NA
2020000250219,5,5105,"AmInd","[18,55)",NA
2023000506067,1,5103,"AmInd","[55,60)",NA
2023000506067,1,5105,"AmInd","[55,60)",NA
2020000379066,1,5114,"AmInd","[55,60)",NA
2020000379066,1,5116,"AmInd","[55,60)",NA
2021001337959,1,5105,"AmInd","[60,85)",NA
2021001010406,1,5101,"Asian","[55,60)",NA
2019000250909,1,5114,"Asian","[55,60)",NA
2023000124799,4,5101,"Asian","[85,Inf)",NA
2023000124799,4,5116,"Asian","[85,Inf)",NA
2021000270856,1,5101,"Black","[55,60)",NA
2021000270856,1,5102,"Black","[55,60)",NA
2019000286692,3,5105,"Black","[55,60)",NA
2021000270856,1,5114,"Black","[55,60)",NA
2023000955609,5,5105,"Black","[60,85)",NA
2023001198594,4,5101,"Black","[85,Inf)",NA
2023001198594,4,5102,"Black","[85,Inf)",NA
2023001198594,4,5103,"Black","[85,Inf)",NA
2023001198594,4,5114,"Black","[85,Inf)",NA
2023001198594,4,5116,"Black","[85,Inf)",NA
2023000186324,6,5101,"HispLat","[55,60)",NA
2020000925666,1,5105,"HispLat","[55,60)",NA
2021000830138,4,5101,"HispLat","[85,Inf)",NA
2019000559210,5,5114,"HispLat","[85,Inf)",NA
2022000796704,6,5101,"MENA","[0,18)",NA
2022000796704,7,5102,"MENA","[0,18)",NA
2022000796704,7,5103,"MENA","[0,18)",NA
2022000796704,7,5105,"MENA","[0,18)",NA
2022000796704,6,5114,"MENA","[0,18)",NA
2022001234838,2,5101,"MENA","[18,55)",NA
2023000786622,1,5103,"MENA","[18,55)",NA
2022001234838,2,5105,"MENA","[18,55)",NA
2023000786622,2,5101,"MENA","[55,60)",NA
2023000786622,2,5102,"MENA","[55,60)",NA
2023000786622,2,5103,"MENA","[55,60)",NA
2023000786622,2,5105,"MENA","[55,60)",NA
2023000786622,2,5116,"MENA","[55,60)",NA
2023000786622,5,5101,"MENA","[60,85)",NA
2023000786622,5,5102,"MENA","[60,85)",NA
2023000786622,5,5103,"MENA","[60,85)",NA
2023000786622,5,5105,"MENA","[60,85)",NA
2023000786622,5,5116,"MENA","[60,85)",NA
2019001267020,5,5101,"NHPI","[0,18)",NA
2019001267020,3,5114,"NHPI","[0,18)",NA
2021001353814,2,5101,"NHPI","[18,55)",NA
2021000705247,2,5114,"NHPI","[18,55)",NA
2021001353814,6,5101,"NHPI","[55,60)",NA
2021001353814,6,5103,"NHPI","[55,60)",NA
2019001267020,7,5105,"NHPI","[55,60)",NA
2021000356995,1,5114,"NHPI","[55,60)",NA
2021000356995,8,5101,"NHPI","[60,85)",NA
2021000810050,6,5105,"NHPI","[60,85)",NA
2021000810050,6,5114,"NHPI","[60,85)",NA
2023000403969,4,5101,"Other","[0,18)",NA
2023000403969,5,5102,"Other","[0,18)",NA
2023000403969,5,5103,"Other","[0,18)",NA
2023000403969,5,5105,"Other","[0,18)",NA
2023000403969,4,5114,"Other","[0,18)",NA
2023000403969,3,5101,"Other","[18,55)",NA
2023000403969,2,5102,"Other","[18,55)",NA
2023000403969,2,5103,"Other","[18,55)",NA
2023000403969,2,5105,"Other","[18,55)",NA
2023000403969,3,5114,"Other","[18,55)",NA
2023001452518,1,5101,"White","[85,Inf)",NA
2020000881460,3,5101,"NHPI","[18,55)",NA
2020000735139,1,5101,"White","[55,60)",NA
2021001216178,1,5103,"White","[55,60)",NA
2023000904786,2,5105,"White","[55,60)",NA
2019001411206,1,5101,"White","[85,Inf)",NA
2020000378197,1,5102,"White","[85,Inf)",NA
2022010158813,1,5116,"AmInd","[55,60)",NA
2021001332811,3,5101,"Asian","[85,Inf)",NA
2021001332811,3,5102,"Asian","[85,Inf)",NA
2021001332811,3,5105,"Asian","[85,Inf)",NA
2021001332811,3,5114,"Asian","[85,Inf)",NA
2021001332811,3,5116,"Asian","[85,Inf)",NA
2019000337746,1,5116,"Black","[85,Inf)",NA
2019000731310,3,5101,"MENA","[0,18)",NA
2021000995624,1,5101,"MENA","[55,60)",NA
2021000995624,1,5103,"MENA","[55,60)",NA
2021000995624,1,5116,"MENA","[55,60)",NA
2023010014475,1,5101,"MENA","[60,85)",NA
2023010014475,1,5103,"MENA","[60,85)",NA
2022000363181,1,5114,"MENA","[60,85)",NA
2022000308819,2,5103,"NHPI","[0,18)",NA
2022000437872,2,5105,"NHPI","[55,60)",NA
2022000811087,1,5114,"NHPI","[55,60)",NA
2022000811087,1,5116,"NHPI","[55,60)",NA
2022000108809,5,5102,"NHPI","[60,85)",NA
2022000108809,5,5103,"NHPI","[60,85)",NA
2021000311269,3,5101,"Other","[0,18)",NA
2023000635385,2,5116,"Other","[0,18)",NA
2023000992483,1,5101,"Other","[55,60)",NA
2023000970612,1,5103,"Other","[55,60)",NA
2022001072307,1,5105,"Other","[55,60)",NA
2021001219502,1,5102,"Other","[60,85)",NA
2022010027412,1,5103,"Other","[60,85)",NA
2022000365017,1,5105,"Other","[60,85)",NA
2021001219502,1,5114,"Other","[60,85)",NA
2023000689564,5,5101,"AmInd","[0,18)",NA
2023000371813,2,5114,"AmInd","[0,18)",NA
2021000016272,1,5116,"AmInd","[85,Inf)",NA
2023010096459,1,5102,"Asian","[0,18)",NA
2021000064560,3,5105,"Asian","[0,18)",NA
2020000088213,1,5114,"Black","[85,Inf)",NA
2021010026104,1,5102,"HispLat","[85,Inf)",NA
2023010085227,1,5102,"MENA","[85,Inf)",NA
2019001156825,3,5101,"NHPI","[0,18)",NA
2019001156825,3,5102,"NHPI","[0,18)",NA
2019001156825,3,5103,"NHPI","[0,18)",NA
2019001156825,3,5114,"NHPI","[0,18)",NA
2019001156825,3,5116,"NHPI","[0,18)",NA
2022000811087,1,5105,"NHPI","[55,60)",NA
2022000450712,5,5101,"Other","[0,18)",NA
2022000450712,5,5103,"Other","[0,18)",NA
2022000450712,5,5105,"Other","[0,18)",NA
2022000450712,5,5114,"Other","[0,18)",NA
2022000450712,5,5116,"Other","[0,18)",NA
2022001341590,1,5114,"Other","[60,85)",NA
2021001415441,4,5101,"Asian","[0,18)",NA
2021001415441,4,5103,"Asian","[0,18)",NA
2021001415441,4,5105,"Asian","[0,18)",NA
2021001415441,4,5114,"Asian","[0,18)",NA
2021001415441,4,5116,"Asian","[0,18)",NA
2023001250450,5,5101,"Asian","[85,Inf)",NA
2020000745307,1,5116,"Asian","[85,Inf)",NA
2019000019575,5,5102,"Black","[0,18)",NA
2019000019575,5,5103,"Black","[0,18)",NA
2019000019575,5,5105,"Black","[0,18)",NA
2019000019575,5,5114,"Black","[0,18)",NA
2019000019575,5,5116,"Black","[0,18)",NA
2023001312762,2,5103,"Black","[85,Inf)",NA
2022001276237,2,5101,"HispLat","[0,18)",NA
2022001276237,2,5102,"HispLat","[0,18)",NA
2022001276237,2,5103,"HispLat","[0,18)",NA
2022001276237,2,5105,"HispLat","[0,18)",NA
2022001276237,2,5114,"HispLat","[0,18)",NA
2020000706725,3,5102,"HispLat","[85,Inf)",NA
2023001019777,1,5105,"HispLat","[85,Inf)",NA
2020000706725,3,5114,"HispLat","[85,Inf)",NA
2020000706725,3,5116,"HispLat","[85,Inf)",NA
2022000493653,1,5102,"MENA","[55,60)",NA
2019000682473,1,5103,"MENA","[55,60)",NA
2019000046666,1,5101,"MENA","[85,Inf)",NA
2019000046666,1,5103,"MENA","[85,Inf)",NA
2019000046666,1,5105,"MENA","[85,Inf)",NA
2019000533610,2,5103,"NHPI","[55,60)",NA
2021001353814,6,5105,"NHPI","[55,60)",NA
2021001353814,6,5114,"NHPI","[55,60)",NA
2021001240575,1,5105,"NHPI","[85,Inf)",NA
2023001244090,2,5116,"Other","[55,60)",NA
2022000271072,2,5102,"Other","[60,85)",NA
2021001028464,2,5105,"White","[0,18)",NA
2021001028464,2,5114,"White","[0,18)",NA
2021010026104,1,5105,"HispLat","[85,Inf)",NA
2022000437872,2,5114,"NHPI","[55,60)",NA
2020000305552,2,5101,"Other","[55,60)",NA
2023000181011,1,5101,"AmInd","[55,60)",NA
2023000181011,1,5102,"AmInd","[55,60)",NA
2022000780252,2,5116,"AmInd","[55,60)",NA
2020001037427,1,5103,"AmInd","[85,Inf)",NA
2020001037427,1,5105,"AmInd","[85,Inf)",NA
2020001037427,1,5114,"AmInd","[85,Inf)",NA
2023000609453,1,5101,"Asian","[55,60)",NA
2022000251011,1,5102,"Asian","[55,60)",NA
2022000251011,1,5105,"Asian","[55,60)",NA
2021001022297,2,5105,"Asian","[60,85)",NA
2022001438567,1,5103,"Asian","[85,Inf)",NA
2022001438567,1,5105,"Asian","[85,Inf)",NA
2022001438567,1,5116,"Asian","[85,Inf)",NA
2021001089835,1,5105,"Black","[55,60)",NA
2020000000787,1,5114,"Black","[55,60)",NA
2019001120976,1,5101,"Black","[85,Inf)",NA
2023001450746,1,5102,"Black","[85,Inf)",NA
2021000095975,1,5102,"HispLat","[55,60)",NA
2019000151009,1,5103,"HispLat","[55,60)",NA
2019000350362,6,5105,"HispLat","[55,60)",NA
2023001019777,1,5101,"HispLat","[85,Inf)",NA
2023001019777,1,5102,"HispLat","[85,Inf)",NA
2023001019777,1,5114,"HispLat","[85,Inf)",NA
2023001019777,1,5116,"HispLat","[85,Inf)",NA
2022000916248,1,5103,"MENA","[18,55)",NA
2023000041225,1,5105,"MENA","[18,55)",NA
2023000041225,1,5114,"MENA","[18,55)",NA
2023000041225,1,5116,"MENA","[18,55)",NA
2020001106354,1,5101,"MENA","[60,85)",NA
2022000193966,1,5103,"MENA","[60,85)",NA
2023001021594,2,5116,"MENA","[60,85)",NA
2022000366431,1,5101,"MENA","[85,Inf)",NA
2022000366431,1,5102,"MENA","[85,Inf)",NA
2022000366431,1,5103,"MENA","[85,Inf)",NA
2022000366431,1,5105,"MENA","[85,Inf)",NA
2022000366431,1,5114,"MENA","[85,Inf)",NA
2019000533610,2,5102,"NHPI","[55,60)",NA
2019000533610,2,5114,"NHPI","[55,60)",NA
2019000533610,2,5116,"NHPI","[55,60)",NA
2023000356271,2,5103,"NHPI","[60,85)",NA
2023000497813,2,5105,"NHPI","[60,85)",NA
2021000911143,1,5114,"NHPI","[60,85)",NA
2023000087822,1,5101,"Other","[18,55)",NA
2023000087822,1,5116,"Other","[18,55)",NA
2022001072307,1,5103,"Other","[55,60)",NA
2022001072307,1,5114,"Other","[55,60)",NA
2022001072307,1,5116,"Other","[55,60)",NA
2022000419940,1,5101,"Other","[60,85)",NA
2022000419940,1,5102,"Other","[60,85)",NA
2022000419940,1,5103,"Other","[60,85)",NA
2022000419940,1,5105,"Other","[60,85)",NA
2022000419940,1,5114,"Other","[60,85)",NA
NA,NA,5101,NA,NA,"Other.arab"
NA,NA,5103,NA,NA,"Other.arab"
NA,NA,5105,NA,NA,"ReSomalian"
