"CBSERIAL","PERNUM","PUMA"
2023010140646,1,5105
2023010140646,1,5116
2021010005805,1,5116
2019000337746,1,5114
2021010110835,1,5101
2021010110835,1,5102
2021010110835,1,5103
2023001295505,1,5102
2021000995624,1,5116
2023010085227,1,5102
2022001125794,1,5101
2022001125794,1,5103
2022001125794,1,5105
2022001125794,1,5114
2022001125794,1,5116
2022001072307,1,5101
2023000992483,1,5103
2023000992483,1,5105
2022010027412,1,5105
2022010027412,1,5114
2019000640216,1,5102
2023001198594,3,5101
2023001198594,3,5102
2023001198594,3,5103
2023001198594,3,5114
2023001198594,3,5116
2023000338236,1,5114
2021010110835,1,5105
2023000351080,1,5105
2019001316561,1,5114
2019000386064,1,5116
2023001398271,1,5101
2023010085227,1,5101
2023010085227,1,5116
2019001267020,7,5103
2020000881460,1,5105
2020000881460,1,5114
2020000874023,1,5114
2021001237113,1,5102
2023000292690,1,5105
2023000292690,1,5116
2023000062888,1,5101
2023000062888,1,5103
2023000062888,1,5105
2023000062888,1,5114
2023000062888,1,5116
2022001341590,1,5103
2022001341590,1,5114
2022001341590,1,5116
2019001409078,4,5102
2019001409078,4,5103
2019001409078,4,5105
2019001409078,4,5114
2019001409078,4,5116
2020001037427,1,5105
2019000118359,5,5101
2021000599930,1,5103
2019000186914,1,5116
2023000605251,4,5105
2020000706725,3,5114
2019000738884,1,5103
2019001292531,2,5103
2019001292531,2,5105
2019001292531,2,5116
2020000881460,1,5103
2021001240575,1,5103
2021001240575,1,5105
2021001240575,1,5116
2020000305552,2,5101
2020000305552,2,5102
2020000305552,2,5116
2020000139211,2,5102
2021010005021,1,5101
2022010158813,1,5101
2022010158813,1,5103
2023010175702,1,5116
2019010096359,1,5101
2023010092852,1,5116
2020010002575,1,5101
2023010096459,1,5102
2023010096459,1,5105
2020010002575,1,5116
2022010114100,1,5101
2022010036689,1,5103
2022010114100,1,5105
2022010114100,1,5114
2020010114968,1,5114
2023010098276,1,5101
2023010098276,1,5102
2023010098276,1,5103
2023010098276,1,5105
2023010123646,1,5116
2021010019527,1,5101
2022010039639,1,5114
2019010074691,1,5101
2019010074691,1,5114
2022010167192,1,5103
2023010014475,1,5103
2023010014475,1,5105
2023010094744,1,5114
2019010096313,1,5101
2019010096313,1,5102
2019010096313,1,5103
2019010096313,1,5114
2019010096313,1,5116
2020010099001,1,5101
2020010099001,1,5102
2020010099001,1,5103
2020010099001,1,5105
2020010099001,1,5116
2022010027412,1,5102
2022010027412,1,5103
2022010027412,1,5116
2022010039109,1,5116
2022001234838,3,5114
2020000250219,2,5105
2020000379066,1,5103
2020000379066,1,5105
2020000379066,1,5114
2020000379066,1,5116
2023001322028,2,5105
2019000250909,1,5101
2019000306149,2,5114
2020000908861,4,5101
2020000908861,4,5116
2021000270856,1,5101
2019000286692,3,5102
2019000286692,3,5105
2021000270856,1,5114
2023000334198,1,5105
2023001198594,4,5101
2023001198594,4,5102
2023001198594,4,5103
2023001198594,4,5116
2021000580339,2,5101
2022001209228,1,5105
2021000830138,4,5101
2021000830138,4,5114
2022000796704,4,5101
2022000796704,4,5102
2022000796704,6,5103
2022000796704,4,5105
2022000796704,4,5114
2022001234838,2,5101
2022001234838,2,5103
2022001234838,2,5105
2023000786622,2,5101
2023000786622,2,5102
2023000786622,2,5103
2023000786622,2,5105
2023000786622,2,5116
2023000786622,5,5101
2023000786622,5,5102
2023000786622,5,5103
2023000786622,5,5105
2023000786622,5,5116
2021000306987,4,5101
2020000881460,6,5114
2020000881460,2,5101
2019001267020,1,5114
2021001353814,6,5105
2021000356995,7,5101
2021001353814,5,5105
2019001267020,6,5114
2023000403969,5,5101
2023000403969,5,5102
2023000403969,5,5103
2023000403969,5,5105
2023000403969,4,5114
2023000403969,3,5101
2023000403969,3,5102
2023000403969,3,5103
2023000403969,3,5105
2023000403969,2,5114
2023001322028,4,5101
2020000881460,3,5101
2023000904786,2,5101
2020000735139,1,5105
2020000048321,4,5101
2020000378197,1,5102
2020000378197,1,5116
2023000314401,1,5116
2021001332811,3,5101
2021001332811,3,5102
2021001332811,3,5105
2021001332811,3,5114
2021001332811,3,5116
2019000337746,1,5102
2019000337746,1,5103
2019000337746,1,5116
2019000106356,3,5101
2021000995624,1,5101
2021000995624,1,5102
2021000995624,1,5103
2021000995624,1,5105
2023010094744,1,5101
2023010094744,1,5103
2023000658717,3,5103
2022000437872,2,5105
2022000437872,2,5114
2022000437872,2,5116
2020001048458,1,5102
2020001048458,1,5103
2020000646773,3,5101
2021000311269,3,5116
2023000371813,3,5101
2023000371813,3,5105
2023000689564,6,5114
2023000371813,3,5116
2021000016272,1,5114
2023001166205,2,5102
2021000214687,4,5103
2023001166205,2,5105
2023000901620,4,5101
2023000901620,3,5102
2023000901620,2,5103
2023000901620,4,5105
2019000668711,1,5114
2021000756846,5,5102
2019001316561,1,5102
2019001316561,1,5105
2021000704798,1,5101
2022000366431,1,5102
2021001118133,1,5103
2019001156825,3,5101
2019001156825,3,5102
2019001156825,3,5103
2019001156825,3,5114
2019001156825,3,5116
2022000811087,1,5105
2022000811087,1,5114
2022000450712,5,5103
2022000450712,5,5105
2022000450712,5,5114
2022000450712,5,5116
2023000970612,1,5105
2021001415441,4,5101
2021001415441,4,5103
2021001415441,4,5105
2021001415441,4,5114
2021001415441,4,5116
2023000475332,5,5101
2020000745307,2,5116
2019000019575,5,5102
2019000019575,5,5103
2019000019575,5,5105
2019000019575,5,5114
2019000019575,5,5116
2019000991427,1,5103
2021001215983,2,5116
2022001276237,2,5101
2022001276237,2,5102
2022001276237,2,5103
2022001276237,2,5105
2022001276237,2,5114
2020000706725,3,5102
2023001019777,1,5105
2023001019777,1,5114
2023001019777,1,5116
2019000682473,1,5102
2022000493653,1,5103
2019000533610,2,5114
2021001240575,1,5114
2021000762803,2,5105
2021001089835,2,5114
2019000559210,5,5105
2023010068018,1,5101
2023000970612,1,5101
2021000622686,1,5101
2023000181011,1,5102
2022000780252,2,5116
2020001037427,1,5114
2023000527573,1,5101
2023000527573,1,5102
2023000527573,1,5105
2020000635700,2,5105
2023000124799,4,5101
2022001438567,1,5103
2022001438567,1,5105
2022001438567,1,5116
2020000138872,1,5105
2020000138872,1,5114
2023001450746,1,5101
2019000991427,1,5102
2019000991427,1,5116
2019000845466,1,5102
2019000350362,6,5103
2019000845466,1,5105
2023001019777,1,5101
2023001019777,1,5102
2022000916248,1,5103
2022000916248,1,5105
2022000916248,1,5114
2023000041225,1,5116
2020000625173,1,5101
2022000193966,1,5103
2023001021594,2,5116
2022000366431,1,5103
2022000366431,1,5114
2023000093723,1,5101
2019000533610,2,5116
2021000911143,1,5103
2021001326650,1,5105
2021001326650,1,5114
2023000521643,1,5101
2023000521643,1,5116
2022001072307,1,5103
2022001072307,1,5105
2022001072307,1,5114
2022001072307,1,5116
2022000419940,1,5101
2022000419940,1,5102
2022000419940,1,5103
2022000419940,1,5105
2022000419940,1,5114
2021010071255,1,5101
2021010071255,1,5114
2020010094199,1,5116
2020010077459,1,5101
2022010161340,1,5103
2022010158813,1,5105
2022010158813,1,5114
2022010158813,1,5116
2019010066505,1,5101
2019010012010,1,5114
2019010096359,1,5116
2020010138196,1,5101
2021010101017,1,5103
2020010138196,1,5105
2020010138196,1,5116
2023010113225,1,5103
2023010113225,1,5105
2023010113225,1,5114
2023010085834,1,5102
2020010005012,1,5116
2021010044156,1,5101
2022010180040,1,5103
2022010039639,1,5101
2021010019527,1,5114
2021010059180,1,5101
2021010018464,1,5102
2021010002319,1,5114
2022010152380,1,5105
2022010046318,1,5101
2022010107923,1,5103
2023010068018,1,5116
2023010118992,1,5101
2023010118992,1,5103
2021000750805,1,5101
2020000745307,2,5102
2022000493653,1,5102
2023001295505,1,5114
2022000096297,2,5103
2021001118133,1,5101
2021001118133,1,5102
2021001118133,1,5105
2021001118133,1,5116
2021001353814,6,5114
2021001353814,6,5116
2020000874023,1,5101
2023000403969,4,5103
2021000301316,1,5114
2023000338236,1,5103
2019000170297,1,5114
2020001067417,1,5116
2019000559210,5,5114
2019001292531,2,5101
2022000271072,2,5102
2020000184004,1,5101
2020000957514,1,5102
2023001270914,3,5101
2023001270914,3,5114
2020000286229,1,5101
2023001260904,1,5101
2023001260904,1,5102
2021000319088,1,5103
2023001260904,1,5105
2021000319088,1,5116
2022001349903,1,5103
2019001120976,1,5101
2019001120976,1,5102
2019001120976,1,5105
2019000487033,1,5105
2021000580339,1,5114
2020000657262,4,5101
2023000101853,6,5103
2023000101853,6,5105
2023000865100,1,5101
2023000865100,1,5103
2020000350568,1,5114
2020000350568,1,5116
2020000994360,5,5103
2020000900962,4,5105
2019000663914,1,5103
2023000403969,4,5101
2021000259222,1,5101
2022001387615,1,5105
2021000301316,1,5103
2021000301316,1,5105
2022000450712,1,5116
2019000839016,4,5105
2022000823892,2,5105
2022000324025,1,5114
2021001138389,1,5105
2021001278228,1,5101
2021001278228,1,5105
2019001380401,5,5114
2019001380401,5,5116
2020000226685,1,5103
2021000865773,1,5105
2022000745935,1,5114
2023000658771,1,5103
2019001215367,1,5102
2023000203267,1,5103
2019001215367,1,5105
2019001215367,1,5114
2019001215367,1,5116
2021001275462,2,5101
2020000883929,1,5105
2019000738254,3,5102
2019000481657,2,5101
2019000481657,2,5102
2019000481657,2,5103
2020000071563,2,5102
2021000174647,2,5101
2021000174647,2,5102
2021000174647,2,5103
2021000174647,2,5105
2021000174647,2,5116
2023000847815,3,5114
2019001267020,2,5103
2022000610613,1,5114
2019001267020,7,5101
2019001267020,7,5105
2019001267020,7,5114
2019001267020,7,5116
2022000859983,3,5105
2022000859983,3,5114
2019001267020,6,5116
2022001347700,4,5102
2023000635385,3,5103
2022001347700,5,5116
2022000844650,2,5102
2022000844650,3,5116
2022001341590,2,5101
2020000139211,2,5114
2019000731310,4,5101
2021000154329,4,5103
2021000133067,3,5105
2019000738884,1,5105
2021001038208,3,5101
2019001158146,1,5101
2023000519626,1,5116
2019000777540,3,5116
2019000763042,1,5116
2019000633756,1,5102
2022000136417,2,5103
2023001441116,1,5105
2023001441116,1,5114
2021000548041,5,5102
2023000720965,1,5101
2020001022048,2,5102
2023000720965,1,5103
2019010057198,1,5101
2020000054738,4,5102
2020000054738,4,5105
2020010181057,1,5116
2022000647334,1,5101
2022000647334,1,5103
2019001232513,1,5105
2019001232513,1,5114
2020000226685,1,5105
2020000370382,1,5114
2022000309795,2,5101
2022000309795,2,5102
2022000309795,2,5103
2022000309795,2,5105
2022000309795,2,5114
2023000617416,1,5101
2023000617416,1,5103
2022000717056,1,5105
2021001286914,1,5101
2019000049532,3,5101
2021000497925,2,5101
2023001264418,1,5101
2023010109771,1,5101
2023010109771,1,5103
2019000622109,4,5105
2019010134618,1,5101
2023000921500,4,5105
2022001165812,2,5114
2022001348012,3,5105
2022001348012,3,5114
2020000075672,2,5114
2022000465312,5,5114
2021000154329,3,5101
2021000154329,3,5102
2021000154329,3,5103
2021000154329,3,5105
2021000154329,3,5114
2021000154329,2,5105
2019000738884,1,5101
2021000133067,4,5103
2021000133067,4,5114
2020001106354,1,5101
2020000621001,1,5105
2019000682473,2,5114
2020001039435,2,5101
2023001100943,2,5116
2019000912333,2,5101
2019000291067,1,5102
2020000234602,3,5101
2020000234602,3,5102
2022001192453,3,5105
2022001192453,3,5116
2020000471336,2,5116
2020000802067,1,5101
2020000802067,1,5102
2021001153630,2,5103
2022000136417,2,5101
2022000136417,2,5102
2022000136417,2,5105
2022000136417,2,5114
2020010046155,1,5101
2020010046155,1,5102
2020010046155,1,5105
2020010046155,1,5114
2020010046155,1,5116
2022001033402,1,5101
2022000129239,2,5103
2021000844848,1,5114
2023000012029,1,5103
2020000054738,3,5102
2020000054738,3,5105
2020000054738,3,5116
2020000054738,1,5101
2023000967380,2,5101
2023000967380,2,5103
2023000967380,2,5105
2023000266323,1,5102
2021000966895,1,5105
2021000143684,1,5114
2022000045203,3,5105
2021000262858,1,5105
2019001380401,1,5114
2022000717056,1,5101
2022000717056,1,5103
2022000916248,3,5103
2021000816028,2,5114
2023001295505,1,5116
2020000604857,1,5101
2023010128417,1,5116
2023001154188,4,5101
2021000839438,5,5105
2021000839438,1,5101
2020000866397,2,5101
2020000357226,2,5105
2022000611363,1,5105
2019000559210,5,5101
2023000605251,4,5116
2022000014789,7,5101
2023000921500,3,5105
2023001249676,2,5114
2023001249676,2,5116
2021001104608,2,5116
2019000306149,2,5101
2020000676805,1,5114
2021000658719,2,5101
2021000658719,2,5105
2022001318975,3,5114
2019001346950,2,5114
2020001006300,4,5114
